읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
,농소3동제2투,3917,2174,904,962,35,204,12,5,18,2140,34,1743
,농소3동제3투,2614,1520,614,675,26,146,4,15,15,1495,25,1094
,농소3동제4투,2724,1465,570,745,14,92,11,6,9,1447,18,1259
,농소3동제5투,1813,1008,446,446,17,64,11,4,9,997,11,805
,농소3동제6투,3155,1987,953,725,17,232,11,12,16,1966,21,1168
,농소3동제7투,3468,2274,1024,1027,14,173,6,4,8,2256,18,1194
,농소3동제8투,1959,1247,631,444,10,132,10,3,7,1237,10,712
강동동,소계,11886,7551,3600,3164,54,525,49,25,51,7468,83,4335
,관내사전투표,2827,2827,1517,1009,21,217,17,9,17,2807,20,0
,강동동제1투,2872,1389,721,533,12,82,11,6,7,1372,17,1483
,강동동제2투,1167,619,126,424,2,32,5,3,7,599,20,548
,강동동제3투,572,345,74,233,2,21,3,0,0,333,12,227
,강동동제4투,424,254,49,181,1,17,2,1,0,251,3,170
,강동동제5투,4024,2117,1113,784,16,156,11,6,20,2106,11,1907
효문동,소계,23308,14905,6190,6409,150,1706,94,74,122,14745,160,8403
,관내사전투표,4212,4212,2158,1335,43,576,20,17,24,4173,39,0
,효문동제1투,1433,727,210,443,5,52,3,4,1,718,9,706
,효문동제2투,1707,962,430,374,12,115,6,4,11,952,10,745
,효문동제3투,2200,1569,571,789,15,163,7,6,7,1558,11,631
,효문동제4투,4054,2368,801,1198,18,264,14,11,29,2335,33,1686
,효문동제5투,3361,1571,600,730,22,154,23,8,15,1552,19,1790
,효문동제6투,2561,1446,613,565,12,202,11,10,17,1430,16,1115
,효문동제7투,3780,2050,807,975,23,180,10,14,18,2027,23,1730
송정동,소계,26002,18286,8649,6771,130,2256,95,77,142,18120,166,7716
,관내사전투표,6446,6446,3471,1893,38,884,27,37,52,6402,44,0
,송정동제1투,2392,1541,517,769,14,185,14,8,8,1515,26,851
,송정동제2투,2001,1255,530,446,14,237,4,4,9,1244,11,746
,송정동제3투,2298,1310,428,665,15,161,5,4,12,1290,20,988
,송정동제4투,2652,1468,541,661,17,202,13,4,12,1450,18,1184
,송정동제5투,1801,1020,341,539,7,85,14,4,10,1000,20,781
,송정동제6투,1991,1242,672,406,7,124,5,7,14,1235,7,749
,송정동제7투,3602,2240,1250,753,7,199,7,1,12,2229,11,1362
,송정동제8투,2819,1764,899,639,11,179,6,8,13,1755,9,1055
양정동,소계,8459,5848,2535,2167,89,869,39,33,45,5777,71,2611
,관내사전투표,2445,2445,1262,704,30,400,14,7,12,2429,16,0
,양정동제1투,2329,1510,617,592,23,224,11,7,15,1489,21,819
,양정동제2투,1628,847,306,373,17,112,8,7,5,828,19,781
,양정동제3투,2057,1046,350,498,19,133,6,12,13,1031,15,1011
염포동,소계,8603,5683,2422,2289,64,688,51,34,62,5610,73,2920
,관내사전투표,2475,2475,1245,796,26,336,13,14,23,2453,22,0
,염포동제1투,921,519,179,259,8,44,12,4,6,512,7,402
,염포동제2투,1122,558,178,283,8,53,12,3,10,547,11,564
,염포동제3투,2555,1450,583,589,14,209,10,8,17,1430,20,1105
,염포동제4투,1530,681,237,362,8,46,4,5,6,668,13,849
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0,0,0,0,0
